From	Entry	Entry Name	Protein names
NP_995322	Q71RS6	NCKX5_HUMAN	Sodium/potassium/calcium exchanger 5 (Na(+)/K(+)/Ca(2+)-exchange protein 5) (Solute carrier family 24 member 5)
NP_001037	P55011	S12A2_HUMAN	Solute carrier family 12 member 2 (Basolateral Na-K-Cl symporter) (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2)
NP_001037	Q53ZR1	Q53ZR1_HUMAN	Bumetanide-sensitive Na-K-Cl cotransporter (Solute carrier family 12 (Sodium/potassium/chloride transporters), member 2, isoform CRA_b)
NP_000330	P55017	S12A3_HUMAN	Solute carrier family 12 member 3 (Na-Cl cotransporter) (NCC) (Na-Cl symporter) (Thiazide-sensitive sodium-chloride cotransporter)
NP_000329	Q13621	S12A1_HUMAN	Solute carrier family 12 member 1 (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2) (Kidney-specific Na-K-Cl symporter)
NP_000329	Q8IUN5	Q8IUN5_HUMAN	SLC12A1 protein (Solute carrier family 12 member 1)
NP_005063	Q9UP95	S12A4_HUMAN	Solute carrier family 12 member 4 (Electroneutral potassium-chloride cotransporter 1) (Erythroid K-Cl cotransporter 1) (hKCC1)
NP_006589	Q9Y666	S12A7_HUMAN	Solute carrier family 12 member 7 (Electroneutral potassium-chloride cotransporter 4) (K-Cl cotransporter 4)
NP_064631	Q9BXP2	S12A9_HUMAN	Solute carrier family 12 member 9 (Cation-chloride cotransporter 6) (hCCC6) (Cation-chloride cotransporter-interacting protein 1) (CCC-interacting protein 1) (hCIP1) (Potassium-chloride transporter 9) (WO3.3)
NP_064631	Q9H7I6	Q9H7I6_HUMAN	FLJ00100 protein
NP_065759	Q9H2X9	S12A5_HUMAN	Solute carrier family 12 member 5 (Electroneutral potassium-chloride cotransporter 2) (K-Cl cotransporter 2) (hKCC2) (Neuronal K-Cl cotransporter)
NP_078904	A0AV02	S12A8_HUMAN	Solute carrier family 12 member 8 (Cation-chloride cotransporter 9)
NP_001035962	Q9UHW9	S12A6_HUMAN	Solute carrier family 12 member 6 (Electroneutral potassium-chloride cotransporter 3) (K-Cl cotransporter 3)
NP_598408	Q9UHW9	S12A6_HUMAN	Solute carrier family 12 member 6 (Electroneutral potassium-chloride cotransporter 3) (K-Cl cotransporter 3)
NP_598408	A0A024R9I5	A0A024R9I5_HUMAN	Solute carrier family 12 (Potassium/chloride transporters), member 6, isoform CRA_d
NP_005126	Q9UHW9	S12A6_HUMAN	Solute carrier family 12 member 6 (Electroneutral potassium-chloride cotransporter 3) (K-Cl cotransporter 3)
NP_001035960	Q9UHW9	S12A6_HUMAN	Solute carrier family 12 member 6 (Electroneutral potassium-chloride cotransporter 3) (K-Cl cotransporter 3)
NP_001035960	A0A024R9K8	A0A024R9K8_HUMAN	Solute carrier family 12 (Potassium/chloride transporters), member 6, isoform CRA_a
NP_001035960	Q6NSI7	Q6NSI7_HUMAN	Solute carrier family 12 (Potassium/chloride transporters), member 6
NP_001035959	Q9UHW9	S12A6_HUMAN	Solute carrier family 12 member 6 (Electroneutral potassium-chloride cotransporter 3) (K-Cl cotransporter 3)
NP_001035959	A0A024R9K8	A0A024R9K8_HUMAN	Solute carrier family 12 (Potassium/chloride transporters), member 6, isoform CRA_a
NP_001035961	Q9UHW9	S12A6_HUMAN	Solute carrier family 12 member 6 (Electroneutral potassium-chloride cotransporter 3) (K-Cl cotransporter 3)
NP_006336	Q6PML9	ZNT9_HUMAN	Proton-coupled zinc antiporter SLC30A9, mitochondrial (Human embryonic lung protein) (HuEL) (Solute carrier family 30 member 9) (Zinc transporter 9) (ZnT-9)
NP_006336	A0A0S2Z514	A0A0S2Z514_HUMAN	Proton-coupled zinc antiporter SLC30A9, mitochondrial (Solute carrier family 30 member 9) (Zinc transporter 9)
NP_061183	Q6XR72	ZNT10_HUMAN	Calcium/manganese antiporter SLC30A10 (Solute carrier family 30 member 10) (Zinc transporter 10) (ZnT-10)
NP_061183	B3KR19	B3KR19_HUMAN	Solute carrier family 30, member 10, isoform CRA_a (cDNA FLJ33487 fis, clone BRAMY2003538, highly similar to Homo sapiens solute carrier family 30, member 10 (SLC30A10), transcript variant 1, mRNA)
NP_067017	Q9Y6M5	ZNT1_HUMAN	Proton-coupled zinc antiporter SLC30A1 (Solute carrier family 30 member 1) (Zinc transporter 1)
NP_598003	Q8NEW0	ZNT7_HUMAN	Zinc transporter 7 (ZnT-7) (Solute carrier family 30 member 7) (Znt-like transporter 2)
NP_037441	O14863	ZNT4_HUMAN	Probable proton-coupled zinc antiporter SLC30A4 (Solute carrier family 30 member 4) (Zinc transporter 4) (ZnT-4)
NP_003450	Q99726	ZNT3_HUMAN	Probable proton-coupled zinc antiporter SLC30A3 (Solute carrier family 30 member 3) (Zinc transporter 3) (ZnT-3)
NP_060434	Q6NXT4	ZNT6_HUMAN	Zinc transporter 6 (ZnT-6) (Solute carrier family 30 member 6)
NP_776250	Q8IWU4	ZNT8_HUMAN	Proton-coupled zinc antiporter SLC30A8 (Solute carrier family 30 member 8) (Zinc transporter 8) (ZnT-8)
NP_115902	Q9BRI3	ZNT2_HUMAN	Proton-coupled zinc antiporter SLC30A2 (Solute carrier family 30 member 2) (Zinc transporter 2) (ZnT-2)
NP_001004434	Q9BRI3	ZNT2_HUMAN	Proton-coupled zinc antiporter SLC30A2 (Solute carrier family 30 member 2) (Zinc transporter 2) (ZnT-2)
NP_076960	Q8TAD4	ZNT5_HUMAN	Proton-coupled zinc antiporter SLC30A5 (Solute carrier family 30 member 5) (Zinc transporter 5) (ZnT-5) (ZnT-like transporter 1) (hZTL1)
NP_075053	Q8TAD4	ZNT5_HUMAN	Proton-coupled zinc antiporter SLC30A5 (Solute carrier family 30 member 5) (Zinc transporter 5) (ZnT-5) (ZnT-like transporter 1) (hZTL1)
NP_000074	P35523	CLCN1_HUMAN	Chloride channel protein 1 (ClC-1) (Chloride channel protein, skeletal muscle)
NP_001821	P51793	CLCN4_HUMAN	H(+)/Cl(-) exchange transporter 4 (Chloride channel protein 4) (ClC-4) (Chloride transporter ClC-4)
NP_000075	P51795	CLCN5_HUMAN	H(+)/Cl(-) exchange transporter 5 (Chloride channel protein 5) (ClC-5) (Chloride transporter ClC-5)
NP_000075	A8K4H5	A8K4H5_HUMAN	Chloride channel protein
NP_000076	P51801	CLCKB_HUMAN	Chloride channel protein ClC-Kb (Chloride channel Kb) (ClC-K2)
NP_000076	A8K8H0	A8K8H0_HUMAN	Chloride channel protein
NP_004357	P51788	CLCN2_HUMAN	Chloride channel protein 2 (ClC-2)
NP_001277	P51797	CLCN6_HUMAN	H(+)/Cl(-) exchange transporter 6 (Chloride channel protein 6) (ClC-6) (Chloride transport protein 6)
NP_001278	P51798	CLCN7_HUMAN	H(+)/Cl(-) exchange transporter 7 (Chloride channel 7 alpha subunit) (Chloride channel protein 7) (ClC-7)
NP_004061	P51800	CLCKA_HUMAN	Chloride channel protein ClC-Ka (Chloride channel Ka) (ClC-K1)
NP_001036169	P51800	CLCKA_HUMAN	Chloride channel protein ClC-Ka (Chloride channel Ka) (ClC-K1)
NP_001820	P51790	CLCN3_HUMAN	H(+)/Cl(-) exchange transporter 3 (Chloride channel protein 3) (ClC-3) (Chloride transporter ClC-3)
NP_776297	P51790	CLCN3_HUMAN	H(+)/Cl(-) exchange transporter 3 (Chloride channel protein 3) (ClC-3) (Chloride transporter ClC-3)
NP_004203	O43868	S28A2_HUMAN	Sodium/nucleoside cotransporter 2 (Concentrative nucleoside transporter 2) (CNT 2) (hCNT2) (Na(+)/nucleoside cotransporter 2) (Sodium-coupled nucleoside transporter 2) (Sodium/purine nucleoside co-transporter) (SPNT) (Solute carrier family 28 member 2)
NP_004203	Q2M2A7	Q2M2A7_HUMAN	Sodium/nucleoside cotransporter
NP_004203	Q53H72	Q53H72_HUMAN	Sodium/nucleoside cotransporter
NP_071410	Q9HAS3	S28A3_HUMAN	Solute carrier family 28 member 3 (Concentrative Na(+)-nucleoside cotransporter 3) (CNT 3) (hCNT3)
NP_004204	O00337	S28A1_HUMAN	Sodium/nucleoside cotransporter 1 (Concentrative nucleoside transporter 1) (CNT 1) (hCNT1) (Na(+)/nucleoside cotransporter 1) (Sodium-coupled nucleoside transporter 1) (Solute carrier family 28 member 1)
NP_004204	B7Z3L5	B7Z3L5_HUMAN	Sodium/nucleoside cotransporter
NP_964014	O00337	S28A1_HUMAN	Sodium/nucleoside cotransporter 1 (Concentrative nucleoside transporter 1) (CNT 1) (hCNT1) (Na(+)/nucleoside cotransporter 1) (Sodium-coupled nucleoside transporter 1) (Solute carrier family 28 member 1)
NP_964014	B7Z3L6	B7Z3L6_HUMAN	Solute carrier family 28 member 1 (cDNA FLJ58165, highly similar to Sodium/nucleoside cotransporter 1)
NP_003039	Q9UBY0	SL9A2_HUMAN	Sodium/hydrogen exchanger 2 (Na(+)/H(+) exchanger 2) (NHE-2) (Solute carrier family 9 member 2)
NP_004585	Q14940	SL9A5_HUMAN	Sodium/hydrogen exchanger 5 (Na(+)/H(+) exchanger 5) (NHE-5) (Solute carrier family 9 member 5)
NP_004585	Q9NSW9	Q9NSW9_HUMAN	Uncharacterized protein DKFZp434N222
NP_004165	P48764	SL9A3_HUMAN	Sodium/hydrogen exchanger 3 (Na(+)/H(+) exchanger 3) (NHE-3) (Solute carrier family 9 member 3)
NP_115980	Q96T83	SL9A7_HUMAN	Sodium/hydrogen exchanger 7 (Na(+)/H(+) exchanger 7) (NHE-7) (Solute carrier family 9 member 7)
NP_115980	A0A024R176	A0A024R176_HUMAN	Sodium/hydrogen exchanger
NP_003038	P19634	SL9A1_HUMAN	Sodium/hydrogen exchanger 1 (APNH) (Na(+)/H(+) antiporter, amiloride-sensitive) (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)
NP_003038	B2RAH2	B2RAH2_HUMAN	Sodium/hydrogen exchanger
NP_775924	Q8IVB4	SL9A9_HUMAN	Sodium/hydrogen exchanger 9 (Na(+)/H(+) exchanger 9) (NHE-9) (Solute carrier family 9 member 9)
NP_898884	Q4G0N8	SL9C1_HUMAN	Sodium/hydrogen exchanger 10 (Na(+)/H(+) exchanger 10) (NHE-10) (Solute carrier family 9 member 10) (Solute carrier family 9 member C1) (Sperm-specific Na(+)/H(+) exchanger) (sNHE)
NP_001011552	Q6AI14	SL9A4_HUMAN	Sodium/hydrogen exchanger 4 (Na(+)/H(+) exchanger 4) (NHE-4) (Solute carrier family 9 member 4)
NP_001036002	Q92581	SL9A6_HUMAN	Sodium/hydrogen exchanger 6 (Na(+)/H(+) exchanger 6) (NHE-6) (Solute carrier family 9 member 6)
NP_006350	Q92581	SL9A6_HUMAN	Sodium/hydrogen exchanger 6 (Na(+)/H(+) exchanger 6) (NHE-6) (Solute carrier family 9 member 6)
NP_056081	Q9Y2E8	SL9A8_HUMAN	Sodium/hydrogen exchanger 8 (Na(+)/H(+) exchanger 8) (NHE-8) (Solute carrier family 9 member 8)
NP_631912	Q4ZJI4	SL9B1_HUMAN	Sodium/hydrogen exchanger 9B1 (Na(+)/H(+) exchanger-like domain-containing protein 1) (NHE domain-containing protein 1) (Sodium/hydrogen exchanger-like domain-containing protein 1) (Solute carrier family 9, subfamily B member 1)
NP_001094344	Q4ZJI4	SL9B1_HUMAN	Sodium/hydrogen exchanger 9B1 (Na(+)/H(+) exchanger-like domain-containing protein 1) (NHE domain-containing protein 1) (Sodium/hydrogen exchanger-like domain-containing protein 1) (Solute carrier family 9, subfamily B member 1)
NP_001094344	A0A140VJQ1	A0A140VJQ1_HUMAN	Testicular tissue protein Li 127
NP_849155	Q86UD5	SL9B2_HUMAN	Sodium/hydrogen exchanger 9B2 (Na(+)/H(+) exchanger NHA2) (Na(+)/H(+) exchanger-like domain-containing protein 2) (NHE domain-containing protein 2) (Sodium/hydrogen exchanger-like domain-containing protein 2) (Solute carrier family 9 subfamily B member 2)
NP_849155	A0A024RDJ7	A0A024RDJ7_HUMAN	Cation/H+ exchanger domain-containing protein
NP_849155	B7Z488	B7Z488_HUMAN	cDNA FLJ54331
NP_060375	Q6UWJ1	TMCO3_HUMAN	Transmembrane and coiled-coil domain-containing protein 3 (Putative LAG1-interacting protein)
NP_060375	A0A024RE09	A0A024RE09_HUMAN	Testis tissue sperm-binding protein Li 36a (Transmembrane and coiled-coil domains 3, isoform CRA_a)
NP_065161	Q8IWA5	CTL2_HUMAN	Choline transporter-like protein 2 (Solute carrier family 44 member 2)
NP_079533	Q53GD3	CTL4_HUMAN	Choline transporter-like protein 4 (Solute carrier family 44 member 4) (Thiamine pyrophosphate transporter 1) (hTPPT1)
NP_079533	A0A140VJH4	A0A140VJH4_HUMAN	Choline transporter-like protein
NP_536856	Q8WWI5	CTL1_HUMAN	Choline transporter-like protein 1 (CDw92) (Solute carrier family 44 member 1) (CD antigen CD92)
NP_536856	A0A024R151	A0A024R151_HUMAN	Choline transporter-like protein
NP_689582	Q8N4M1	CTL3_HUMAN	Choline transporter-like protein 3 (Solute carrier family 44 member 3)
NP_689910	Q8NCS7	CTL5_HUMAN	Choline transporter-like protein 5 (Solute carrier family 44 member 5)
NP_004162	P43004	EAA2_HUMAN	Excitatory amino acid transporter 2 (Glutamate/aspartate transporter II) (Sodium-dependent glutamate/aspartate transporter 2) (Solute carrier family 1 member 2)
NP_004163	P43003	EAA1_HUMAN	Excitatory amino acid transporter 1 (Sodium-dependent glutamate/aspartate transporter 1) (GLAST-1) (Solute carrier family 1 member 3)
NP_004163	A0A024R050	A0A024R050_HUMAN	Amino acid transporter
NP_004163	Q8N169	Q8N169_HUMAN	Amino acid transporter
NP_005062	P48664	EAA4_HUMAN	Excitatory amino acid transporter 4 (Sodium-dependent glutamate/aspartate transporter) (Solute carrier family 1 member 6)
